name,lat,lon,住所,URL,備考
第一中学校,35.751347,139.427909,奈良橋３丁目６９０,https://www.city.higashiyamato.lg.jp,このように任意の項目を追加できます
第二中学校,35.737930,139.429191,南街3丁目60番地の4,https://2c.hyama.andteacher.jp/,このように任意の項目を追加できます
蔵敷公民館,35.754216,139.416187,蔵敷３丁目７３０,https://www.city.higashiyamato.lg.jp,このように任意の項目を追加できます
